Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
African American Studies,,,,,,
AAM  137  01W African American Literature,L McQueen,TR,09:30 AM,10:50 AM,Hickok Hall,1.00
AAM  287  01 Topics:Tupac Shakur & Hip Hop Revol,C Johnson,MWF,09:00 AM,09:50 AM,Hickok Hall,1.00
Accounting,,,,,,
ACC  171  01 Principles of Accounting I,T Abraham,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
ACC  171  02 Principles of Accounting I,C Melcher,MWF,10:00 AM,10:50 AM,Athletics and Recrea 1.00,
ACC  171  03 Principles of Accounting I,C Melcher,MWF,09:00 AM,09:50 AM,Athletics and Recrea 1.00,
ACC  215  01 Principles of Accounting II,A Perry,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
ACC  301  01 Intermediate Accounting I,C Melcher,MWF,11:00 AM,12:15 PM,Athletics and Recrea 1.00,
ACC  415  01 Adv Managerial Accounting,A Perry,TR,12:30 PM,01:50 PM,Stuart Hall,1.00
ACC  422  01 Tax Accounting,C Melcher,TR,09:30 AM,10:50 AM,Stuart Hall,1.00
Anthropology,,,,,,
ANT  109  01 Intro to Archaeology:Method & Thry,A Ziskowski,MWF,12:00 PM,12:50 PM,Hickok Hall,1.00
ANT  116  01 Cultural Anthropology,J Fairbanks,MWF,10:00 AM,10:50 AM,Stuart Hall,1.00
ANT  116  02 Cultural Anthropology,J Fairbanks,MWF,02:00 PM,02:50 PM,Stuart Hall,1.00
ANT  215  01W Ethnographic Methods,J Fairbanks,TR,11:00 AM,12:20 PM,Hickok Hall,1.00
ANT  284  01 Topics in Anthropology/Space &Place,J Fairbanks,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
Art History,,,,,,
ARH  107  01 Gender and Art,R Lueth,MWF,10:00 AM,10:50 AM,Dows Center,1.00
ARH  128  01 Introduction to Art History,R Lueth,MWF,01:00 PM,01:50 PM,Dows Center,1.00
ARH  307  01W Modern and Contemporary Art,R Lueth,TR,11:00 AM,12:20 PM,Dows Center,1.00
ARH  313  01 Focus Course: Contemporary Issues,R Lueth,T,01:00 PM,01:50 PM,Dows Center,0.25
meets first 7 weeks,,,,,,
ARH  323  01 Focus: Curatorial Conversations,R Lueth,T,01:00 PM,01:50 PM,Dows Center,0.25
meets second 7 weeks,,,,,,
ARH  394  01 Directed Studies in Art History,R Lueth,,00:00 AM,00:00 AM,Arranged,A1.00
ARH  464  01W Senior Seminar I,R Lueth,,00:00 AM,00:00 AM,Arranged,A1.00
Art,,,,,,
ART  100  01 Art Lab (Reg w/ ART 135),J Rogers,F,01:00 PM,02:20 PM,Dows Center,0.00
ART  115  01 Drawing: Observation and Interpret,P Thompson,MWF,09:00 AM,10:30 AM,Dows Center,1.00
"ART  135  01 Ceramics: Form, Function & Meaning",J Rogers,MW,01:00 PM,02:20 PM,Dows Center,1.00
ART  145  01 Digital Art,Z Cohen,TR,09:00 AM,10:50 AM,Dows Center,1.00
ART  151  01 Layers of Meaning,P Thompson,MWF,01:00 PM,02:30 PM,Dows Center,1.00
ART  155  01 Photography: Light Writing,L Goodson,MWF,09:00 AM,10:30 AM,Dows Center,1.00
ART  175  01 Printmaking: A Graphic Art Form,K Blakemore,MWF,01:00 PM,02:50 PM,Dows Center,1.00
ART  191  01 Topics:Time-Based Media,Z Cohen,TR,12:30 PM,02:20 PM,Dows Center,1.00
ART  230  01 Art of Children & Adolescents,L Panos,,00:00 AM,00:00 AM,Arranged,A1.00
To register: Please see Betsy Kigin,,,,,,
ART  231  01 Open Studio,J Rogers,,00:00 AM,00:00 AM,Arranged,A0.25
ART  252  01 Mark Making,P Thompson,TR,01:30 PM,03:20 PM,Dows Center,1.00
ART  291  01 Advanced Topics in Studio Art,J Rogers,TR,09:30 AM,11:30 AM,Dows Center,1.00
ART  464  01 Senior Seminar I,Z Cohen,MW,11:00 AM,11:50 AM,Dows Center,1.00
ART  474  01 Senior Seminar II,Z Cohen,MW,11:00 AM,11:50 AM,Dows Center,1.00
Asian Studies,,,,,,
ASC  186  01 Modern South Asia,D Nordmann,MWF,09:00 AM,09:50 AM,Hickok Hall,1.00
Biology,,,,,,
BIO  100  01 Human Biology,S Gee,MWF,10:00 AM,10:50 AM,Peterson Hall,1.00
Course Number/Title,,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Biology,,,,,,,
BIO  100L 01 Human Biology Lab,,S Gee,R,01:00 PM,03:50 PM,Peterson Hall,0.20
"BIO  120  01 Biology, Health & Society",,R Christensen,MWRF,09:00 AM,09:50 AM,Stuart Hall,41.00
BIO  145  01 Cellular & Molecular Biology,,S Gee,MWF,08:00 AM,08:50 AM,Hickok Hall,1.00
BIO  145  02 Cellular & Molecular Biology,,M Leonardo,MWF,09:00 AM,09:50 AM,Hickok Hall,1.00
BIO  145  03 Cellular & Molecular Biology,,D Hughes,MWF,10:00 AM,10:50 AM,Hickok Hall,1.00
BIO  145L 01W Intro Biology Laboratory,,S Gee,M,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  145L 02W Intro Biology Laboratory,,A Luttinger,T,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  145L 03W Intro Biology Laboratory,,A Luttinger,T,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  145L 04W Intro Biology Laboratory,,K Keyes,T,06:00 PM,08:50 PM,Peterson Hall,0.20
BIO  145L 05W Intro Biology Laboratory,,S Gee,W,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  145L 06W Intro Biology Laboratory,,A Luttinger,R,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  145L 07W Intro Biology Laboratory,,D Hughes,R,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  202  01 Topics in Evolution,,A Luttinger,MWF,01:00 PM,01:50 PM,Peterson Hall,1.00
BIO  205  01 General Botany,,P Sanchini,MWF,11:00 AM,11:50 AM,Athletics and Recrea 1.00,
BIO  205L 01W General Botany Laboratory,,P Sanchini,T,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  205L 02W General Botany Laboratory,,P Sanchini,R,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  205L 03W General Botany Laboratory,,P Sanchini,R,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  215  01 Human Anatomy,,K Keyes,MWF,10:00 AM,10:50 AM,Stuart Hall,41.00
BIO  215L 01 Human Anatomy Laboratory,,K Keyes,T,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  215L 02 Human Anatomy Laboratory,,K Keyes,R,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  215L 03 Human Anatomy Laboratory,,K Keyes,R,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  321  01 Herpetology,,D Hughes,MWF,02:00 PM,02:50 PM,Peterson Hall,1.00
BIO  321L 01 Herpetology Lab,,D Hughes,T,01:00 PM,03:50 PM,Peterson Hall,0.20
BIO  325  01 Microbiology,,M Leonardo,MWF,11:00 AM,11:50 AM,Peterson Hall,1.00
BIO  325L 01W Microbiology Lab,,M Leonardo,TR,09:00 AM,10:50 AM,Peterson Hall,0.20
BIO  325L 02W Microbiology Lab,,M Leonardo,TR,01:00 PM,02:50 PM,Peterson Hall,0.20
BIO  345  01 Techniques in Molecular Biology,,P Storer,TR,01:00 PM,02:20 PM,Peterson Hall,1.00
BIO  345L 01 Techniques in Molecular Biology Lab,,P Storer,TR,02:30 PM,05:00 PM,Peterson Hall,0.50
BIO  415  01 Developmental Biology,,R Christensen,MWF,02:00 PM,02:50 PM,Peterson Hall,1.00
BIO  415L 01 Developmental Biology lab,,R Christensen,R,08:00 AM,10:50 AM,Peterson Hall,0.20
BIO  455  01 Molecular Neurobiology,,P Storer,MWF,01:00 PM,01:50 PM,Peterson Hall,1.00
BIO  455L 01 Molecular Neurobiology Lab,,P Storer,T,08:00 AM,10:50 AM,Peterson Hall,0.20
Business Administration,,,,,,,
BUS  125  01 Computers in Business,,J Hall,TR,09:30 AM,10:50 AM,Stuart Hall,1.00
BUS  125  02 Computers in Business,,J Hall,TR,12:30 PM,01:50 PM,Stuart Hall,1.00
BUS  190  01W Statistical Analysis,,M Knudson,MWF,12:00 PM,12:50 PM,Stuart Hall,1.00
BUS  190  02W Statistical Analysis,,M Knudson,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
BUS  190  03W Statistical Analysis,,M Knudson,MWF,02:00 PM,02:50 PM,Stuart Hall,1.00
BUS  250  01 Principles of Management,,V Nguyen,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
BUS  250  02 Principles of Management,,V Nguyen,MWF,02:00 PM,02:50 PM,Stuart Hall,1.00
BUS  315  01 Business Law I,,J Christensen,TR,12:30 PM,01:50 PM,Stuart Hall,1.00
BUS  315  02 Business Law I,,J Christensen,TR,02:00 PM,03:20 PM,Stuart Hall,1.00
BUS  330  01W Principles of Marketing,,P Carstens,TR,08:00 AM,09:20 AM,Stuart Hall,1.00
BUS  350  01 Principles of Finance,,J Chen,MWF,01:00 PM,01:50 PM,Stuart Hall,1.00
BUS  387  01 Adv Top:Human Res Mgt,,V Nguyen,MWF,09:00 AM,09:50 AM,Stuart Hall,1.00
BUS  400  01 Legal Issues in Sports,,J Christensen,TR,09:30 AM,10:50 AM,Stuart Hall,41.00
BUS  454  01 Research in Business,,P Carstens,M,06:00 PM,09:00 PM,Stuart Hall,1.00
